"id","classroom_id","name","baseline_lexile","interests"
"1","3","Lindsay Rodriguez","443","[""adventure"",""mystery"",""ocean"",""science""]"
"2","3","David Osborne","454","[""graphic novels"",""sports"",""superheroes"",""friendship""]"
"3","1","Robyn Hendrix","313","[""friendship"",""science""]"
"4","2","Cory Rodriguez","387","[""friendship"",""ocean""]"
"5","1","Debra Greene","321","[""graphic novels"",""ocean""]"
"6","1","John Cochran","333","[""history"",""fantasy"",""mystery"",""animals""]"
"7","1","Michael Solis","342","[""friendship"",""fantasy"",""science"",""magic""]"
"8","3","Robert Flowers","495","[""mystery"",""graphic novels"",""magic""]"
"9","3","Richard Guerrero","478","[""animals"",""sports"",""mystery"",""fantasy""]"
"10","1","Joel Erickson","320","[""magic"",""friendship"",""humor"",""ocean""]"
"11","2","Cody Mcguire","372","[""history"",""magic""]"
"12","2","Amy Gilbert","376","[""fantasy"",""magic""]"
"13","1","Amanda Hodges","310","[""history"",""sports""]"
"14","2","Brenda Parker","461","[""mystery"",""ocean""]"
"15","3","Adam Mills","451","[""magic"",""friendship""]"
"16","1","Brandi Villa","313","[""friendship"",""animals"",""humor""]"
"17","2","Shaun Williams","404","[""history"",""adventure""]"
"18","1","Jamie Rodriguez","296","[""magic"",""history"",""space"",""mystery""]"
"19","1","Joseph Smith","258","[""mystery"",""history"",""fantasy"",""animals""]"
"20","2","Barbara Fisher","374","[""history"",""sports"",""graphic novels"",""science""]"
"21","3","Adam Weiss","468","[""mystery"",""ocean"",""sports"",""science""]"
"22","3","Adam Reed","487","[""humor"",""magic"",""superheroes""]"
"23","1","Shawn Lopez","254","[""fantasy"",""graphic novels""]"
"24","1","Ellen Holt","349","[""space"",""mystery""]"
"25","2","Sandy Warren","332","[""science"",""friendship"",""humor""]"
"26","2","Diana Smith","419","[""history"",""humor"",""superheroes""]"
"27","2","Robert Huang","453","[""superheroes"",""ocean"",""humor"",""friendship""]"
"28","1","Ralph Vasquez","317","[""friendship"",""science""]"
"29","2","Mary Stewart","337","[""dinosaurs"",""sports""]"
"30","2","Lisa Young","337","[""animals"",""friendship"",""adventure"",""sports""]"
"31","2","Teresa Phillips","394","[""humor"",""mystery"",""magic"",""adventure""]"
"32","1","Karen Patton","280","[""fantasy"",""magic"",""humor""]"
"33","3","Sierra Smith","518","[""graphic novels"",""history"",""ocean"",""superheroes""]"
"34","2","Melanie Heath","371","[""space"",""fantasy""]"
"35","3","Timothy Woodard","533","[""graphic novels"",""adventure"",""friendship"",""science""]"
"36","2","Rachel Martin","381","[""science"",""fantasy""]"
"37","2","Thomas Hardy","283","[""superheroes"",""mystery"",""fantasy""]"
"38","1","Deanna Gregory","268","[""dinosaurs"",""graphic novels"",""science""]"
"39","3","Lynn Clay","477","[""mystery"",""superheroes""]"
"40","1","Sandra Morales","251","[""history"",""science"",""animals"",""fantasy""]"
